concept_id,gene_name
hgnc:4588,GRIN2D
hgnc:16768,GRIN3B
hgnc:3026,DRD5
hgnc:3025,DRD4
hgnc:4579,GRIK1
hgnc:4582,GRIK4
hgnc:4580,GRIK2
hgnc:4581,GRIK3
hgnc:9605,PTGS2
hgnc:7463,MTNR1A
hgnc:7464,MTNR1B
hgnc:9845,RAMP3
hgnc:280,ADRA1D
hgnc:278,ADRA1B
hgnc:262,ADORA1
hgnc:4687,GUCY1B1
hgnc:4684,GUCY1A2
hgnc:4685,GUCY1A1
hgnc:6053,IMPDH2
hgnc:59,ABCC8
hgnc:10599,SCNN1A
hgnc:10602,SCNN1G
hgnc:983,BCHE
hgnc:6153,ITGB1
hgnc:11796,THRA
hgnc:4070,GABBR1
hgnc:4507,GABBR2
hgnc:5299,HTR4
hgnc:9604,PTGS1
hgnc:264,ADORA2B
hgnc:8792,PDE7B
hgnc:11333,SSTR4
hgnc:60,ABCC9
hgnc:10600,SCNN1B
hgnc:3214,EEF2
hgnc:17296,RRM2B
hgnc:1390,CACNA1C
hgnc:1393,CACNA1F
hgnc:1964,CHRNB4
hgnc:1957,CHRNA3
hgnc:11799,THRB
hgnc:5147,HPD
hgnc:1804,CD52
hgnc:439,ALPP
hgnc:11526,TACR1
hgnc:3528,F10
hgnc:5967,IL11RA
hgnc:2883,DIO1
hgnc:7898,NPC1L1
hgnc:23,ABAT
hgnc:17450,CYP3A43
hgnc:2640,CYP3A7
hgnc:8573,PAEP
hgnc:4704,GYPC
hgnc:4384,GNAI1
hgnc:14942,PPP1R3B
hgnc:1705,CD86
hgnc:11929,TNFSF13B
hgnc:12643,VAMP2
hgnc:6481,LAMA1
hgnc:6486,LAMB1
hgnc:2637,CYP3A4
hgnc:2638,CYP3A5
hgnc:4187,GC
hgnc:4261,GH1
hgnc:4289,GK
hgnc:11132,SNAP25
hgnc:11923,TNFRSF8
hgnc:11926,TNFSF11
hgnc:6482,LAMA2
hgnc:6483,LAMA3
hgnc:6484,LAMA4
hgnc:6487,LAMB2
hgnc:6492,LAMC1
hgnc:2201,COL3A1
hgnc:2209,COL5A1
hgnc:2211,COL6A1
hgnc:2192,COL15A1
hgnc:2195,COL18A1
hgnc:20821,COL24A1
hgnc:2198,COL1A2
hgnc:2202,COL4A1
hgnc:22986,COL27A1
hgnc:2187,COL11A2
hgnc:14864,COL5A3
